Solar,Pressure,Temp,Humidity,npk_val,ph,soil_moist,lastFeeding,lastWatering
71.37777777777778,74.07407407407408,16.211656250000033,94.3820224719101,29.999999999999996,6.5,88.08191739817414,17,-197
75.57777777777778,74.07407407407408,16.408312500000022,92.13483146067416,42.0,7.1,95.897921875,18,-196
75.71111111111111,74.07407407407408,18.01750000000004,79.7752808988764,42.0,7.1,95.49562499999999,19,-195
74.06666666666666,74.07407407407408,17.743343750000008,80.89887640449437,42.0,7.1,94.44056855688203,20,-194
60.24444444444445,74.07407407407408,18.881687499999998,71.91011235955057,42.0,7.1,93.03238711376403,21,-193
24.977777777777778,75.30864197530865,20.02000000000004,64.04494382022472,29.999999999999996,6.5,87.12983146067414,17,-192
0.0,None,None,None,None,None,None,18,-191
0.0,None,None,None,None,None,None,19,-190
0.0,None,None,None,None,None,None,20,-189
0.0,None,None,None,None,None,None,21,-188
0.0,None,None,None,None,None,None,22,-187
0.0,None,None,None,None,None,None,23,-186
0.0,None,None,None,None,None,None,24,-185
0.0,None,None,None,None,None,None,25,-184
0.0,None,None,None,None,None,None,26,-183
0.0,None,None,None,None,None,None,27,-182
0.0,None,None,None,None,None,None,28,-181
0.0,None,None,None,None,None,None,29,-180
0.0,None,None,None,None,None,None,30,-179
0.0,None,None,None,None,None,None,31,-178
0.0,None,None,None,None,None,None,32,-177
17.68888888888889,71.60493827160494,14.520000000000039,100.0,11.999999999999996,5.6,85.13404494382021,28,-176
44.977777777777774,71.60493827160494,16.939999999999998,92.13483146067416,29.999999999999996,6.5,85.6526404494382,24,-175
70.33333333333334,71.60493827160494,17.906656250000026,85.39325842696628,29.999999999999996,6.5,85.4109763869382,20,-174
76.42222222222223,70.37037037037037,18.021500000000003,73.03370786516854,42.0,7.1,85.3822654494382,21,-173
74.77777777777777,71.60493827160494,19.840000000000032,74.15730337078652,29.999999999999996,6.5,86.05123595505617,17,-172
71.93333333333334,70.37037037037037,20.33000000000004,68.53932584269663,42.0,7.1,91.54671348314606,18,-171
69.86666666666666,70.37037037037037,20.350000000000023,68.53932584269663,42.0,7.1,94.9125,19,-170
62.77777777777778,70.37037037037037,20.060000000000002,68.53932584269663,42.0,7.1,87.11983146067416,20,-169
41.02222222222222,69.1358024691358,19.77000000000004,68.53932584269663,42.0,7.1,80.45075842696629,21,-168
8.511111111111111,69.1358024691358,20.0,59.55056179775281,29.999999999999996,6.5,68.03370786516854,17,-167
0.0,None,None,None,None,None,None,18,-166
0.0,None,None,None,None,None,None,19,-165
0.0,None,None,None,None,None,None,20,-164
0.0,None,None,None,None,None,None,21,-163
0.0,None,None,None,None,None,None,22,-162
0.0,None,None,None,None,None,None,23,-161
0.0,None,None,None,None,None,None,24,-160
0.0,None,None,None,None,None,None,25,-159
0.0,None,None,None,None,None,None,26,-158
0.0,None,None,None,None,None,None,27,-157
0.0,None,None,None,None,None,None,28,-156
0.0,None,None,None,None,None,None,29,-155
0.0,None,None,None,None,None,None,30,-154
4.488888888888889,69.1358024691358,14.980000000000018,100.0,29.999999999999996,6.5,88.38983146067415,26,-153
38.0,69.1358024691358,15.129999999999995,100.0,29.999999999999996,6.5,96.2175,22,-152
78.37777777777778,70.37037037037037,15.79000000000002,100.0,29.999999999999996,6.5,96.0525,18,-151
99.8,70.37037037037037,16.470000000000027,100.0,42.0,7.1,88.01733146067416,19,-150
100.0,71.60493827160494,16.600000000000023,100.0,42.0,7.1,95.85,20,-149
100.0,71.60493827160494,16.670000000000016,92.13483146067416,42.0,7.1,95.8325,21,-148
100.0,71.60493827160494,16.760000000000048,68.53932584269663,29.999999999999996,6.5,95.80999999999999,17,-147
96.42222222222222,71.60493827160494,17.53000000000003,59.55056179775281,42.0,7.1,95.61749999999999,18,-146
84.28888888888889,71.60493827160494,17.390000000000043,59.55056179775281,42.0,7.1,95.65249999999999,19,-145
64.62222222222222,71.60493827160494,17.30000000000001,68.53932584269663,42.0,7.1,95.675,20,-144
32.37777777777778,71.60493827160494,17.410000000000025,64.04494382022472,42.0,7.1,95.6475,21,-143
8.266666666666666,71.60493827160494,17.04000000000002,68.53932584269663,29.999999999999996,6.5,87.87483146067416,17,-142
3.733333333333334,71.60493827160494,16.010000000000048,74.15730337078652,42.0,7.1,64.53682584269662,18,-141
2.711111111111111,71.60493827160494,15.730000000000018,74.15730337078652,42.0,7.1,55.6180617977528,19,-140
1.6,72.8395061728395,15.310000000000002,74.15730337078652,42.0,7.1,55.72306179775281,20,-139
